DateTime,AddedIPs,RemovedIPs
1472778123,0,4
1472778722,4,0
1472779322,5,0
1472779922,6,4
1472780522,1,0
1472781121,4,0
1472781723,3,12
1472782321,2,3
1472782921,7,0
1472784121,3,2
1472784722,12,0
1472785321,3,2
1472786522,0,4
1472787721,5,0
1472788322,2,0
1472788921,1,0
1472789522,3,4
1472790122,1,1
1472790722,5,0
1472791322,2,0
1472791922,5,0
1472792521,1,0
1472793121,4,0
1472793723,4,3
1472794321,8,0
1472794922,5,0
1472795521,5,5
1472796122,12,0
1472796721,1,2
1472797321,1,0
1472797921,6,1
1472799121,0,5
1472799723,0,1
1472800322,4,2
1472800922,2,0
1472801522,0,1
1472802122,23,0
1472802722,28,6
1472803321,6,1
1472803921,1,0
1472804522,3,0
1472805121,3,1
1472805721,14,0
1472806321,7,1
1472806922,3,0
1472807522,11,12
1472808121,2,0
1472808722,5,0
1472809322,7,2
1472809922,8,0
1472810522,5,0
1472811122,3,1
1472811722,3,0
1472812322,2,0
1472812922,1,0
1472814121,12,6
1472814722,7,1
1472815322,2,0
1472816521,6,8
1472817121,3,5
1472817722,5,0
1472818322,1,1
1472818921,5,0
1472819522,6,3
1472820121,1,0
1472820722,3,1
1472821321,0,3
1472821921,1,0
1472822521,0,2
1472823122,3,0
1472824321,9,0
1472825522,2,1
1472826721,3,0
1472827321,2,0
1472827921,2,1
1472829123,2,1
1472829722,1,0
1472830321,8,1
1472830921,4,0
1472832121,2,1
1472833922,1,0
1472834521,4,8
1472835122,2,0
1472835723,0,2
1472836921,3,10
1472838122,3,0
1472838722,1,2
1472839322,4,2
1472839922,0,4
1472840522,5,0
1472841721,0,1
1472842323,0,1
1472842921,1,1
1472843521,1,0
1472844122,7,0
1472844721,1,0
1472845322,0,5
1472846521,2,4
1472847121,2,0
1472847721,2,0
1472848321,5,0
1472848922,3,5
1472849522,4,0
1472850121,1,7
1472850721,0,3
1472851321,1,4
1472851921,0,1
1472852522,2,0
1472853121,2,0
1472853721,0,8
1472854321,1,0
1472854922,1,3
1472855521,2,0
1472856121,2,0
1472856722,4,0
1472857322,0,3
1472857921,2,0
1472858522,0,7
1472859121,3,0
1472860322,1,0
1472860922,2,0
1472862121,1,2
1472862722,0,1
1472863321,1,0
1472863927,0,5
1472865721,0,12
1472866321,1,0
1472866921,4,0
1472867522,14,0
1472868122,11,1
1472868723,10,1
1472869322,3,3
1472869921,1,0
1472870521,9,0
1472871122,1,0
1472871722,3,1
1472872322,20,0
1472872921,2,2
1472874122,2,13
1472875322,6,0
1472876521,5,0
1472877121,5,2
1472877721,1,4
1472879522,5,5
1472880122,6,1
1472880722,4,2
1472881321,1,4
1472881922,6,5
1472882522,2,1
1472883721,6,0
1472884922,3,4
1472885522,7,0
1472886121,2,10
1472886722,3,6
1472888522,7,18
1472889122,2,0
1472889721,2,0
1472890321,0,3
1472890922,1,0
1472891522,1,2
1472892722,2,1
1472893321,4,0
1472894521,0,28
1472895721,1,1
1472896321,1,1
1472897522,1,2
1472898121,5,21
1472898722,3,0
1472899322,2,0
1472900522,1,4
1472901721,1,11
1472902921,3,18
1472903521,1,0
1472904122,3,1
1472904722,3,0
1472905322,1,8
1472905921,8,3
1472906521,1,6
1472907122,3,0
1472907721,5,0
1472908922,4,20
1472909521,1,0
1472910122,3,1
1472910721,0,1
1472911321,10,0
1472911922,0,1
1472912522,1,2
1472913122,3,0
1472913721,4,0
1472914322,0,10
1472915522,5,1
1472916124,2,2
1472917321,1,3
1472917921,1,0
1472918521,0,1
1472919722,0,30
1472920922,1,7
1472921522,1,0
1472922121,1,0
1472922722,0,1
1472923321,0,2
1472923921,1,10
1472924521,1,0
1472925122,0,2
1472925721,4,0
1472926321,2,0
1472926922,1,0
1472927521,2,12
1472928121,0,5
1472928721,1,3
1472929322,13,0
1472929922,5,1
1472930521,1,3
1472931122,1,0
1472931722,2,5
1472932322,4,1
1472932922,0,4
1472933521,0,1
1472934122,1,2
1472934721,0,3
1472935321,2,3
1472936522,0,15
1472937721,3,0
1472938322,2,1
1472939522,5,4
1472940121,3,1
1472940722,3,0
1472941321,1,0
1472942522,4,0
1472943122,0,3
1472943721,1,2
1472944922,0,9
1472946121,3,0
1472946722,3,6
1472947322,3,10
1472947923,2,4
1472948522,0,1
1472949722,0,12
1472950322,2,0
1472950923,1,0
1472951521,6,0
1472952121,0,23
1472953322,0,18
1472954522,4,0
1472955122,5,0
1472955722,4,0
1472956322,0,1
1472956926,7,0
1472957522,0,1
1472958122,4,0
1472959322,1,1
1472959922,2,5
1472961122,2,1
1472961722,3,8
1472962923,5,4
1472963521,1,1
1472964121,1,19
1472964722,1,1
1472965322,1,11
1472965922,2,0
1472966522,3,6
1472967122,6,2
1472968321,2,15
1472968922,5,0
1472969522,0,2
1472970123,6,0
1472970721,6,0
1472971322,7,0
1472972522,11,13
1472973122,15,0
1472973722,4,0
1472974923,4,0
1472975522,7,10
1472976121,2,2
1472976722,2,1
1472977322,3,1
1472977922,2,0
1472978522,0,4
1472979122,2,5
1472979722,6,41
1472980922,2,3
1472982121,6,2
1472983322,4,9
1472983922,3,0
1472984522,1,13
1472985722,1,8
1472986921,0,32
1472987521,0,4
1472988121,1,0
1472988722,2,8
1472989322,1,5
1472989922,3,0
1472990522,8,24
1472991722,1,2
1472992322,1,3
1472992921,2,0
1472994123,6,0
1472994722,2,0
1472995321,2,0
1472996521,2,4
1472997122,3,1
1472997722,5,6
1472998322,1,0
1472998922,3,19
1473000121,1,0
1473000722,2,1
1473001321,15,2
1473001922,0,3
1473002521,2,0
1473003722,1,8
1473004921,3,1
1473005521,3,1
1473006121,3,5
1473006722,4,0
1473007321,4,0
1473008522,4,8
1473009122,1,0
1473009722,1,0
1473010921,4,1
1473011522,2,0
1473012123,3,2
1473013921,2,0
1473014521,3,0
1473015721,1,14
1473016321,1,0
1473016922,2,0
1473017522,1,0
1473018122,1,10
1473018722,2,2
1473019322,2,0
1473019921,1,6
1473020522,0,2
1473021722,0,1
1473022921,3,31
1473023522,3,0
1473024122,1,2
1473024722,5,4
1473025322,2,0
1473025922,1,2
1473026522,1,9
1473027122,1,0
1473027722,2,0
1473028922,2,2
1473029522,2,0
1473030122,0,7
1473031321,4,4
1473031921,1,1
1473032522,6,0
1473033122,3,7
1473033722,6,15
1473034323,4,0
1473034922,3,8
1473035522,0,2
1473036122,5,0
1473036722,2,3
1473037322,8,0
1473037921,1,0
1473038522,1,2
1473039122,2,0
1473039721,2,1
1473040322,1,1
1473040923,3,10
1473042121,3,1
1473042722,4,0
1473043321,1,0
1473044521,6,2
1473045722,0,7
1473046321,1,0
1473046922,1,1
1473047523,0,18
1473048122,0,2
1473048722,3,0
1473049321,11,0
1473049922,4,0
1473050521,2,13
1473051122,4,3
1473051722,2,0
1473052922,7,11
1473053521,2,0
1473054122,1,6
1473054722,10,0
1473055322,0,3
1473055921,7,3
1473056522,2,0
1473057122,4,0
1473057721,3,21
1473058922,2,10
1473059522,1,1
1473061321,0,7
